DATE,MHICA06113A052NCEN
1989-01-01,27781
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,32471
1994-01-01,.
1995-01-01,35620
1996-01-01,.
1997-01-01,38751
1998-01-01,41169
1999-01-01,40422
2000-01-01,42670
2001-01-01,41851
2002-01-01,42412
2003-01-01,43612
2004-01-01,44810
2005-01-01,49378
2006-01-01,50027
2007-01-01,55988
2008-01-01,57877
2009-01-01,56120
2010-01-01,54433
2011-01-01,50174
2012-01-01,51040
2013-01-01,55011
2014-01-01,54509
2015-01-01,58766
2016-01-01,63645
2017-01-01,64900
2018-01-01,67804
2019-01-01,70951
2020-01-01,80668
