DATE,MHICA06087A052NCEN
1989-01-01,30892
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,36100
1994-01-01,.
1995-01-01,40596
1996-01-01,.
1997-01-01,44607
1998-01-01,45267
1999-01-01,49095
2000-01-01,53787
2001-01-01,52984
2002-01-01,51774
2003-01-01,50977
2004-01-01,52031
2005-01-01,57506
2006-01-01,60863
2007-01-01,62849
2008-01-01,66495
2009-01-01,60816
2010-01-01,60247
2011-01-01,61228
2012-01-01,65799
2013-01-01,65282
2014-01-01,64257
2015-01-01,64841
2016-01-01,75929
2017-01-01,76633
2018-01-01,84213
2019-01-01,85770
2020-01-01,93015
