DATE,MHICA06047A052NCEN
1989-01-01,25032
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,26203
1994-01-01,.
1995-01-01,27125
1996-01-01,.
1997-01-01,29178
1998-01-01,29859
1999-01-01,32113
2000-01-01,34474
2001-01-01,34074
2002-01-01,34689
2003-01-01,36738
2004-01-01,38792
2005-01-01,40039
2006-01-01,40447
2007-01-01,43789
2008-01-01,42629
2009-01-01,39922
2010-01-01,41730
2011-01-01,40016
2012-01-01,42552
2013-01-01,41003
2014-01-01,43818
2015-01-01,42879
2016-01-01,47442
2017-01-01,48036
2018-01-01,56169
2019-01-01,59733
2020-01-01,58998
