DATE,MHICA06059A052NCEN
1989-01-01,39592
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,45116
1994-01-01,.
1995-01-01,48701
1996-01-01,.
1997-01-01,49583
1998-01-01,50986
1999-01-01,52129
2000-01-01,55654
2001-01-01,55994
2002-01-01,55992
2003-01-01,55909
2004-01-01,58605
2005-01-01,65823
2006-01-01,70109
2007-01-01,73107
2008-01-01,74862
2009-01-01,71735
2010-01-01,70727
2011-01-01,72046
2012-01-01,71866
2013-01-01,73827
2014-01-01,76061
2015-01-01,78002
2016-01-01,81642
2017-01-01,86031
2018-01-01,89373
2019-01-01,95761
2020-01-01,98786
