DATE,MHICA06073A052NCEN
1989-01-01,31627
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,35648
1994-01-01,.
1995-01-01,37239
1996-01-01,.
1997-01-01,39427
1998-01-01,41909
1999-01-01,44009
2000-01-01,48363
2001-01-01,47944
2002-01-01,47867
2003-01-01,48766
2004-01-01,51939
2005-01-01,56224
2006-01-01,59279
2007-01-01,61724
2008-01-01,62820
2009-01-01,60103
2010-01-01,59759
2011-01-01,59290
2012-01-01,60235
2013-01-01,61365
2014-01-01,66034
2015-01-01,67053
2016-01-01,70693
2017-01-01,76048
2018-01-01,78777
2019-01-01,83576
2020-01-01,87126
