DATE,MHICA06065A052NCEN
1989-01-01,30192
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,34226
1994-01-01,.
1995-01-01,36189
1996-01-01,.
1997-01-01,36368
1998-01-01,39428
1999-01-01,40229
2000-01-01,43558
2001-01-01,42640
2002-01-01,42929
2003-01-01,44598
2004-01-01,46885
2005-01-01,52029
2006-01-01,53269
2007-01-01,57736
2008-01-01,57590
2009-01-01,55151
2010-01-01,53981
2011-01-01,52491
2012-01-01,52416
2013-01-01,53909
2014-01-01,56877
2015-01-01,57895
2016-01-01,59951
2017-01-01,63776
2018-01-01,66793
2019-01-01,72905
2020-01-01,76409
