DATE,MHICA06083A052NCEN
1989-01-01,32500
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,36169
1994-01-01,.
1995-01-01,36889
1996-01-01,.
1997-01-01,40232
1998-01-01,42806
1999-01-01,43211
2000-01-01,46908
2001-01-01,46279
2002-01-01,46432
2003-01-01,45818
2004-01-01,46706
2005-01-01,54721
2006-01-01,53382
2007-01-01,57741
2008-01-01,60645
2009-01-01,58555
2010-01-01,56243
2011-01-01,59494
2012-01-01,60683
2013-01-01,60803
2014-01-01,62116
2015-01-01,63049
2016-01-01,66360
2017-01-01,70651
2018-01-01,75646
2019-01-01,74530
2020-01-01,86136
